name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Albus Dumbledore,0.3913271736389012,0.1378490079257371,0.42639593908629436,0.6273885350318471,0.07544658063021852,0.10935473460844176,0.10935473460844186,84,3189,0,1,0,0
Harry Potter,0.6409947248551741,0.19263318908372512,0.781725888324873,0.8140495867768595,0.20746753932692463,0.1791336631318695,0.17913366313186938,154,8938,0,0,0,0
Ronald Weasley,0.41127130495813863,0.06224930655135673,0.47715736040609136,0.6459016393442623,0.07361970596026456,0.11492917451487568,0.11492917451487575,94,3389,1,0,0,0
Hermione Granger,0.3675900112916205,0.14103602451083536,0.46700507614213194,0.6437908496732027,0.06222981999715147,0.10272298860696344,0.10272298860696338,92,2822,1,0,0,0
Horace Slughorn,0.1636892373005734,0.1347053265082417,0.38071065989847713,0.6024464831804281,0.03604607609488863,0.04574278454329371,0.04574278454329376,75,1350,0,0,0,0
Draco Malfoy,0.14923428612778158,0.07751228596442489,0.3045685279187817,0.5811209439528023,0.030449514339280667,0.04170358147910415,0.041703581479104156,60,1359,0,5,0,0
Tom Riddle,0.13877485817461532,0.05268015765628503,0.29441624365482233,0.5794117647058824,0.03358477579549082,0.038781096364020246,0.03878109636402022,58,1262,0,1,0,0
Severus Snape,0.13589035412223577,0.06258250712748804,0.2893401015228426,0.5760233918128655,0.02655529755921077,0.03797453796661485,0.0379745379666149,57,1146,0,5,0,0
Ginevra Weasley,0.11983078038283596,0.04929824799749079,0.299492385786802,0.5794117647058824,0.02501360562819609,0.033486726027677584,0.033486726027677605,59,1076,1,0,0,0
Rubeus Hagrid,0.09705101271847909,0.01065503367993181,0.19289340101522842,0.5457063711911357,0.01733445885504759,0.027120857620800555,0.027120857620800572,38,757,6,0,0,0
Molly Weasley,0.06193956516654168,0.016662783369924418,0.18274111675126903,0.5397260273972603,0.014633008904968648,0.01730899279677343,0.017308992796773455,36,609,2,2,0,0
