name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Harry Potter,0.6211080473720447,0.15021103392296772,0.7044025157232705,0.7470745810553431,0.2001249475761213,0.17723320628595085,0.17723320628595118,336,57819,0,0,0,0
Ronald Weasley,0.5288815034247519,0.09537385074713262,0.5031446540880503,0.6430515381235865,0.08829434376049894,0.15092924982259937,0.15092924982259906,240,27028,0,0,0,0
Hermione Granger,0.49233657407967363,0.04857063366522281,0.44025157232704404,0.6170170628959109,0.07594287629354156,0.14049849342300164,0.1404984934230017,210,23832,0,0,0,0
Albus Dumbledore,0.15595303208312153,0.07307759125313613,0.37945492662473795,0.5899479272333806,0.03328227654060344,0.044505727632316555,0.04450572763231652,181,9434,0,1,0,0
Rubeus Hagrid,0.11868409960517184,0.03814168771330735,0.2641509433962264,0.5436499923969916,0.019630951951200813,0.033869153911327346,0.033869153911327325,126,5751,0,0,0,0
Tom Riddle,0.08775287286000194,0.03692053023017132,0.29350104821802936,0.5562161114426643,0.018729713806567825,0.025042684383007347,0.025042684383007344,140,4992,0,1,0,0
Severus Snape,0.09084220796229243,0.02936107231039792,0.2578616352201258,0.5449459399354827,0.01850757185987864,0.025924142982812516,0.025924142982812516,123,5537,0,1,0,0
Sirius Black,0.07473871023789722,0.013269786781942457,0.20125786163522014,0.5201474898815358,0.014329224051470269,0.021328611864059543,0.021328611864059533,96,4349,0,1,0,0
Draco Malfoy,0.06651769886090438,0.022643822894772354,0.23060796645702308,0.5273467630978893,0.013769269012129621,0.018982347028543744,0.018982347028543758,110,4157,5,2,0,0
Fred Weasley,0.050387494032485526,0.021225211632612994,0.21174004192872117,0.5249249639562228,0.013737856145856504,0.01437894780720006,0.014378947807200067,101,3975,3,3,0,0
George Weasley,0.04516437904382164,0.027804536951207597,0.20545073375262055,0.5237223867192096,0.012247547508320246,0.012888490034820203,0.01288849003482021,98,3631,3,3,0,0
Ginevra Weasley,0.06156313474854303,0.038843295404591194,0.25157232704402516,0.5372616258588367,0.012495235468290646,0.017568242052955298,0.017568242052955305,120,3587,3,3,0,0
Neville Longbottom,0.04658145978704102,0.024947267047446167,0.20964360587002098,0.5201474898815358,0.009281336818876601,0.013293123258594703,0.0132931232585947,100,2690,1,0,0,0
Remus Lupin,0.03942782922243928,0.024373248959184808,0.17610062893081763,0.5080107151176333,0.008416156040782172,0.011251719023346122,0.011251719023346126,84,2529,0,1,0,0
Molly Weasley,0.041978643768537584,0.024590216896985134,0.15932914046121593,0.5074468852451387,0.009033282734225183,0.011979547991690018,0.011979547991690022,76,2478,3,3,0,0
Cho Chang,0.03143206736186391,0.015350334011072242,0.11111111111111112,0.48228865359268985,0.004662064963143551,0.008970055346969779,0.008970055346969777,53,1363,0,0,0,0
Dolores Umbridge,0.03561933247984169,0.022427789722723877,0.16771488469601678,0.5035348497862004,0.007528302273345823,0.010164897718503011,0.010164897718503006,80,2050,0,0,0,0
Godric Gryffindor,0.03354401280747536,0.036361965580747974,0.24947589098532497,0.5378936983598471,0.009343110676898542,0.00957259975157684,0.009572599751576837,119,2301,1,2,0,0
Minerva McGonagall,0.034758786523956565,0.023309987712633474,0.22012578616352202,0.5267392207440899,0.008035371028615864,0.009919207361281096,0.009919207361281093,105,2248,0,2,0,0
Dobby,0.02574954007210942,0.004506302832526765,0.10062893081761007,0.48178044637077977,0.0036696165275451496,0.007348430265175362,0.007348430265175362,48,1096,0,0,0,0
Cedric Diggory,0.020171424385527176,0.0034968341998252795,0.10901467505241091,0.48587634814651437,0.0037147982639043715,0.005756550578302425,0.0057565505783024225,52,1051,0,0,0,0
Alastor Moody,0.023489065496461094,0.012718457692044162,0.14675052410901468,0.5029809060570628,0.005424278619188548,0.006703234720151639,0.006703234720151638,70,1487,0,1,0,0
Horace Slughorn,0.024174260351031974,0.041675208709015976,0.16561844863731656,0.4980497207035621,0.006614260010456166,0.006898739615139491,0.006898739615139486,79,1395,0,2,0,0
Vernon Dursley,0.01842867541786861,0.0315809326414564,0.09853249475890986,0.4802622306784349,0.004905336603269976,0.005259226223680371,0.005259226223680374,47,1116,4,4,0,0
Luna Lovegood,0.022857955540024018,0.016266105806231772,0.1530398322851153,0.5002293693718489,0.0044568156520382665,0.0065230597523399676,0.006523059752339963,73,1302,1,0,0,0
Dudley Dursley,0.015465457289562747,0.008307413452364455,0.06918238993710692,0.46845250369453895,0.004212744994746057,0.004413590112892299,0.004413590112892293,33,899,4,4,0,0
Hedwig,0.01610792169252509,0.014049529905871723,0.0859538784067086,0.47477636926881617,0.0024597115595913176,0.004596866975516617,0.00459686697551661,41,643,0,0,0,0
Gregory Goyle,0.01409898586960918,0.009468162128190833,0.10062893081761007,0.47825276527810673,0.0041383858131125535,0.004023423001599795,0.004023423001599802,48,1245,5,2,0,0
Vincent Crabbe,0.01339555571713244,0.011095420021423217,0.11740041928721175,0.48228865359268985,0.004124915787789279,0.0038226935094413813,0.003822693509441387,56,1240,5,2,0,0
Sybill Trelawney,0.016417950905924333,0.0043229491729082515,0.0859538784067086,0.4757644574462747,0.00269910821435913,0.004685264825959139,0.004685264825959141,41,792,0,0,0,0
Cornelius Fudge,0.015897812628197845,0.013490931311754495,0.15513626834381553,0.5002293693718489,0.006141949599564861,0.004536811852688919,0.004536811852688919,74,1481,2,1,0,0
Percy Weasley,0.019603011319424456,0.0326280395120239,0.17819706498951782,0.5080107151176333,0.004889161676179648,0.005594098435834104,0.005594098435834112,85,1323,3,3,0,0
Argus Filch,0.015112874929903658,0.01911144985070981,0.10482180293501049,0.48228865359268985,0.0030673715986258036,0.004312836626658315,0.004312836626658315,50,885,0,9,0,0
Kreacher,0.014993102425170962,0.01684203468348877,0.08385744234800839,0.4792553916204088,0.003965767922304508,0.004278659433188192,0.00427865943318819,40,899,0,1,0,0
Gilderoy Lockhart,0.01702715201086405,0.020673728303002976,0.10482180293501049,0.48587634814651437,0.003706685855713103,0.0048590577226301215,0.004859057722630122,50,805,0,0,0,0
Prime Minister,0.004942869371076259,0.020103238266489715,0.12368972746331237,0.4838197286834603,0.0038877716798756956,0.0014105742713097682,0.0014105742713097678,59,712,2,1,0,0
