name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Harry Potter,0.6180254987972409,0.31454136586138537,0.6694214876033058,0.7178838477539776,0.20370729009151828,0.199864114866705,0.19986411486670502,81,3726,0,0,0,0
Ronald Weasley,0.5111887408528908,0.11444482561947322,0.4545454545454546,0.5735267696730146,0.10258836677221539,0.16531882565348474,0.16531882565348474,55,1982,0,0,0,0
Hermione Granger,0.4424194899654985,0.05850853517727642,0.30578512396694213,0.5198469242356389,0.0763653802241981,0.14307764668519557,0.14307764668519551,37,1559,0,0,0,0
Rubeus Hagrid,0.28970660822100747,0.06044046282177721,0.30578512396694213,0.5329743718173471,0.05222226122397041,0.09369125473875076,0.09369125473875077,37,1052,0,0,0,0
Severus Snape,0.14894966116635827,0.021738761339867713,0.21487603305785125,0.4885598408325681,0.02914548601851659,0.048170198090986736,0.048170198090986716,26,594,0,0,0,0
Albus Dumbledore,0.11233004699123383,0.07174537824767008,0.2727272727272727,0.5172986549991898,0.026813513196023986,0.03632765162153253,0.03632765162153253,33,466,4,0,0,0
Quirinus Quirrell,0.08405510218675225,0.02938152818542199,0.14049586776859505,0.4568351758434403,0.015735518074553978,0.027183567799258953,0.027183567799258946,17,312,0,0,0,0
Dudley Dursley,0.055356717365694086,0.08150167398210025,0.10743801652892562,0.4588214157384118,0.01796532785742963,0.017902552521409272,0.017902552521409265,13,256,2,3,1,0
Draco Malfoy,0.09139396216998345,0.05723728481014253,0.21487603305785125,0.4908322121852777,0.02475918139787131,0.029556662779733678,0.02955666277973368,26,428,3,2,0,0
Vernon Dursley,0.05260732072750451,0.043351072328345036,0.10743801652892562,0.45097831461467824,0.01844760385745893,0.017013345178594187,0.01701334517859418,13,265,2,3,1,0
Neville Longbottom,0.074839460403695,0.06057547768606762,0.21487603305785125,0.48407764045795737,0.018120278052631618,0.02420296975648199,0.02420296975648199,26,316,3,2,0,0
Argus Filch,0.049854234143685616,0.014613084346665195,0.1487603305785124,0.4648851348891397,0.011067902313722015,0.01612285964884971,0.01612285964884971,18,207,3,2,0,0
Tom Riddle,0.047959399869500825,0.03286795160704842,0.14049586776859505,0.4608250027067018,0.01097203260016987,0.015510038799763369,0.015510038799763363,17,203,0,0,0,0
Minerva McGonagall,0.058730755709567345,0.056454406527289024,0.2066115702479339,0.48186724027321787,0.015120101811064431,0.018993351372828718,0.018993351372828718,25,260,4,1,0,0
Petunia Dursley,0.024592626678781745,0.03728673626500872,0.10743801652892562,0.44526972835373296,0.013242505989007367,0.007953280060972373,0.007953280060972373,13,188,2,3,0,0
Oliver Wood,0.030975845399342086,0.05124799312572765,0.1487603305785124,0.4690174471992654,0.010085851380765967,0.010017645433835203,0.010017645433835204,18,125,1,1,0,0
Fred Weasley,0.02588200177386165,0.0246428552940738,0.15702479338842976,0.4669421487603306,0.011540745405642967,0.008370220823551239,0.008370220823551235,19,168,1,1,0,0
George Weasley,0.0142342430309823,0.03951324367537165,0.1322314049586777,0.4588214157384118,0.007804832198130914,0.004603320125256453,0.004603320125256446,16,115,1,1,0,0
