name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Harry Potter,0.5953734285973679,0.1488284877789741,0.8651685393258427,0.8811881188118812,0.20382377121698167,0.1900303139761093,0.1900303139761094,77,5932,1,1,0,0
Ronald Weasley,0.5165914337223089,0.08937369904275182,0.6179775280898876,0.7235772357723578,0.10562709872982354,0.16488175945599928,0.1648817594559993,55,3340,1,1,0,0
Hermione Granger,0.5113933159432181,0.07183388177756217,0.5617977528089888,0.6953125,0.099515487742997,0.16322265483652773,0.16322265483652756,50,3149,1,1,0,0
Remus Lupin,0.15888368144205278,0.06785389324971686,0.3932584269662921,0.6137931034482759,0.03889787452452821,0.05071120756512505,0.05071120756512506,35,1199,2,2,0,0
Sirius Black,0.1597122188664434,0.0247832192290176,0.42696629213483145,0.6267605633802817,0.04152255030796938,0.050975731793666816,0.05097573179366681,38,1273,2,2,0,0
Severus Snape,0.11627112035693486,0.014437323927049339,0.2808988764044944,0.577922077922078,0.027141830332796688,0.037110496306883005,0.037110496306882984,25,842,2,2,0,0
Rubeus Hagrid,0.13484976901616696,0.04342876207676528,0.348314606741573,0.5973154362416108,0.024862059318215824,0.0430404727769134,0.04304047277691342,31,757,1,1,0,0
Draco Malfoy,0.07749471309393109,0.034299354212587896,0.4044943820224719,0.6180555555555556,0.02077766040059512,0.02473415642400728,0.02473415642400728,36,579,4,3,0,0
Godric Gryffindor,0.06693463393701261,0.04448064657385532,0.4606741573033708,0.6402877697841727,0.028409331208898488,0.02136366257619695,0.021363662576196953,41,697,0,0,0,1
Oliver Wood,0.03472115501473008,0.004420768796363175,0.3033707865168539,0.5741935483870968,0.017233340608851323,0.01108201445393206,0.011082014453932061,27,387,0,0,0,1
Cornelius Fudge,0.04306769467514558,0.024051111285984805,0.2584269662921348,0.559748427672956,0.013110525731542737,0.013745930635731205,0.013745930635731209,23,343,2,2,0,0
Peter Pettigrew,0.06318709736892132,0.015388017880995414,0.24719101123595505,0.55625,0.018592361587549275,0.020167659652420972,0.020167659652420972,22,560,2,2,0,0
Sybill Trelawney,0.05223213938499687,0.04076336575080856,0.2247191011235955,0.5527950310559007,0.011633851991860369,0.016671055114551827,0.016671055114551823,20,310,1,1,0,0
Albus Dumbledore,0.055633566020915,0.08672497062687506,0.3707865168539326,0.6013513513513513,0.018008791986723158,0.01775672801227317,0.017756728012273182,33,485,2,2,0,0
Buckbeak,0.04923524181694651,0.028050623357344682,0.20224719101123595,0.5393939393939394,0.010394517841316876,0.015714522559432547,0.015714522559432564,18,294,1,1,0,0
Vernon Dursley,0.02194861239139298,0.0675377339020403,0.1348314606741573,0.5144508670520231,0.009678481850081515,0.007005298675535003,0.007005298675534996,12,148,3,5,0,0
Minerva McGonagall,0.03459084729667889,0.04092686711449548,0.33707865168539325,0.5973154362416108,0.012062984519626589,0.011040455147261532,0.01104045514726154,30,305,0,0,0,1
Crookshanks,0.0383336818147159,0.018772966908599684,0.14606741573033707,0.5297619047619048,0.0071624166784927425,0.01223508191869451,0.012235081918694515,13,192,1,1,0,0
Tom Riddle,0.023247532907002096,0.0009434229939847917,0.19101123595505617,0.5393939393939394,0.008165627566340362,0.007419924888880209,0.007419924888880208,17,206,2,2,0,0
Neville Longbottom,0.03160054426846631,0.0372463419626253,0.2808988764044944,0.5741935483870968,0.010838619471694552,0.010086032906292043,0.010086032906292043,25,253,2,2,0,0
Gregory Goyle,0.01535355751302638,0.03145936641752355,0.21348314606741572,0.5460122699386503,0.008646170069815344,0.004900430890652677,0.004900430890652676,19,197,4,3,0,1
Vincent Crabbe,0.016619191398356582,0.005113709853658253,0.1797752808988764,0.536144578313253,0.008699026350871143,0.00530438334441161,0.00530438334441161,16,199,4,3,0,1
Percy Weasley,0.030333756574357877,0.03309709722823752,0.2808988764044944,0.5705128205128205,0.011721541140099942,0.009681723328801364,0.009681723328801357,25,249,0,0,0,0
Fred Weasley,0.021060272445295757,0.07001039210801141,0.33707865168539325,0.5855263157894737,0.012169674486790856,0.006721859165373011,0.00672185916537301,30,242,0,0,0,1
George Weasley,0.01642091641681409,0.03716635060180394,0.3146067415730337,0.577922077922078,0.010510058716334519,0.005241108406698306,0.005241108406698311,28,204,0,0,0,1
Hedwig,0.015964583853499924,0.015464030351670805,0.1348314606741573,0.52046783625731,0.006822105486778543,0.005095415382654654,0.005095415382654649,12,92,1,1,0,0
Poppy Pomfrey,0.015594503862298083,0.009209317158162143,0.15730337078651685,0.5266272189349113,0.004612484119476531,0.004977304665791756,0.004977304665791755,14,100,2,2,0,0
Molly Weasley,0.013020700680179007,0.0014652886269331622,0.14606741573033707,0.5266272189349113,0.00464770119146643,0.004155835462502452,0.0041558354625024305,13,86,0,1,0,0
Cho Chang,0.008552521970513018,0.001880784350140836,0.06741573033707865,0.49171270718232046,0.003348373120830925,0.002729689859930624,0.0027296898599306206,6,49,1,0,0,1
Prime Minister,0.007777375194900831,0.0055312371823067,0.1348314606741573,0.52046783625731,0.004277842887734288,0.0024823152720467646,0.0024823152720467637,12,83,2,2,0,0
Salazar Slytherin,0.011738027259038506,0.0352371125463831,0.3595505617977528,0.5973154362416108,0.011395099608974144,0.003746437646391735,0.003746437646391745,32,190,0,0,0,1
Ginevra Weasley,0.012702856104835417,0.018262668462076623,0.12359550561797752,0.5174418604651163,0.004404373799590873,0.004054396382364138,0.00405439638236413,11,80,0,1,0,0
James Potter I,0.007076498931717935,0.0,0.12359550561797752,0.5085714285714286,0.006239743226822018,0.0022586348470795773,0.002258634847079578,11,140,2,2,0,0
Lily J. Potter,0.003743977405714474,0.0014879939037242408,0.10112359550561797,0.5028248587570622,0.004448654283957938,0.0011949784894870884,0.0011949784894870943,9,86,2,2,0,0
Lavender Brown,0.008522116140583987,0.01287754068652945,0.11235955056179775,0.5114942528735632,0.006365778228379436,0.0027200462922268424,0.0027200462922268424,10,92,3,4,0,0
Parvati Patil,0.005937675846718192,0.010399288634883177,0.11235955056179775,0.5085714285714286,0.005590541099381978,0.0018951540641670792,0.0018951540641670836,10,75,3,4,0,0
Penelope Clearwater,0.0026680932705416675,0.0010409066588841869,0.06741573033707865,0.49444444444444446,0.0038537303168325967,0.0008515818190728576,0.00085158181907286,6,53,0,0,0,1
Errol,0.011132399892228027,0.0025478500899849214,0.07865168539325842,0.4972067039106145,0.0036903963382033667,0.0035531899461729325,0.0035531899461729325,7,62,1,1,0,0
Petunia Dursley,0.00652660601996071,0.0,0.0449438202247191,0.4810810810810811,0.005726748491747083,0.0020830863859173554,0.002083086385917352,4,70,3,5,0,0
Rowena Ravenclaw,0.007365204501824325,0.050554805556876165,0.23595505617977527,0.5527950310559007,0.0067505058841393125,0.0023507496599759546,0.0023507496599759555,21,109,0,0,0,1
Dudley Dursley,0.006247754448153152,0.0,0.0449438202247191,0.4810810810810811,0.004808139107638181,0.001994085243696641,0.001994085243696646,4,64,3,5,0,0
Father Christmas,0.010476735868778581,0.07593139962106046,0.21348314606741572,0.5426829268292683,0.003879843675180303,0.0033438876962926974,0.0033438876962927,19,69,1,1,0,0
Cedric Diggory,0.005860105693080822,0.01412330359259999,0.11235955056179775,0.5085714285714286,0.0032438313749261847,0.0018703597241841083,0.0018703597241841146,10,41,0,0,0,1
Rolanda Hooch,0.005933916515270119,0.07024011640549382,0.21348314606741572,0.536144578313253,0.005102322499789905,0.0018939240906311382,0.0018939240906311397,19,70,0,0,0,1
Filius Flitwick,0.007874120579454235,0.07219372433503368,0.21348314606741572,0.5460122699386503,0.003551018235678683,0.002513207634324016,0.0025132076343240143,19,54,1,1,0,0
Angelina Johnson,0.003121299369730666,0.0013557645963161796,0.1797752808988764,0.52046783625731,0.006697723924017795,0.0009962260329818104,0.0009962260329818113,16,90,0,0,0,1
Lucius Malfoy,0.007511625364887625,0.010807727152986309,0.1348314606741573,0.52046783625731,0.003503351738855868,0.0023975193050313646,0.00239751930503136,12,58,4,3,0,0
Argus Filch,0.007919648595333038,0.012168275558852677,0.15730337078651685,0.5297619047619048,0.004098021414853791,0.00252775195920147,0.0025277519592014686,14,57,0,0,0,0
Helga Hufflepuff,0.001724530830643768,0.015815517829690456,0.15730337078651685,0.52046783625731,0.004637691770890261,0.0005504204348312538,0.000550420434831254,14,50,0,0,0,1
Walden Macnair,0.005101554463549802,0.0,0.07865168539325842,0.5028248587570622,0.0031332767418190332,0.0016282747680574326,0.001628274768057438,7,49,2,2,0,0
Lucian Bole,0.0018407433813998814,0.01168692967271302,0.1348314606741573,0.5085714285714286,0.004032703907714487,0.0005875075539338796,0.0005875075539338706,12,38,0,0,0,1
Peregrine Derrick,0.0010895214103058563,0.00751845632441596,0.11235955056179775,0.5028248587570622,0.003560777931702744,0.0003477415131100357,0.0003477415131100513,10,30,0,0,0,1
Katie Bell,0.002393460742555121,0.012820729955121134,0.15730337078651685,0.5144508670520231,0.005070101153964572,0.0007639207312844689,0.0007639207312844719,14,66,0,0,0,1
Seamus Finnigan,0.00411369044069488,0.005677943486444058,0.14606741573033707,0.5297619047619048,0.0033539476570813263,0.0013129751130898082,0.0013129751130898058,13,40,3,4,0,0
Arthur Weasley,0.0033594539376937778,0.018712827683526608,0.07865168539325842,0.5,0.0024698425736310575,0.0010722392269248968,0.001072239226924892,7,23,0,1,0,0
Cadogan,0.0035472294011221523,0.01699982310712047,0.10112359550561797,0.5114942528735632,0.0024549750573022496,0.0011321729625934855,0.0011321729625934855,9,23,1,1,0,0
Fat Lady,0.00535251055567801,0.00605523037851945,0.15730337078651685,0.5329341317365269,0.003599242635836529,0.0017083795310759643,0.0017083795310759652,14,48,2,0,0,0
Alicia Spinnet,0.0028452792473148566,0.010238014506947082,0.1797752808988764,0.5266272189349113,0.005440083355824373,0.0009081287832634575,0.0009081287832634617,16,69,0,0,0,1
Fang,0.0029025515807023523,0.004792444151551188,0.056179775280898875,0.49171270718232046,0.0022272456398422773,0.0009264178662407916,0.0009264178662407936,5,20,1,1,0,0
Dean Thomas,0.003094183382122649,0.06174501755970262,0.16853932584269662,0.5297619047619048,0.003187249627913242,0.0009875760284262514,0.000987576028426251,15,36,3,4,0,0
Marcus Flint,0.0007267425930584266,0.038713770371409675,0.15730337078651685,0.5174418604651163,0.004031429248622766,0.0002319583578339076,0.000231958357833921,14,50,0,0,0,1
Colin Creevey,0.0019259313091623946,0.0,0.011235955056179775,0.4708994708994709,0.0019003103959311964,0.0006146949636671777,0.0006146949636671854,1,8,1,1,1,0
Florean Fortescue,0.002275744082185037,0.0,0.033707865168539325,0.483695652173913,0.001949380638462231,0.0007263527464460463,0.0007263527464460484,3,10,1,1,0,0
Peeves,0.0025205339118688596,0.0,0.06741573033707865,0.4972067039106145,0.002796787636221128,0.000804489820510457,0.0008044898205104456,6,22,2,2,0,0
Lee Jordan,0.0012116525428132706,0.012990154352513904,0.14606741573033707,0.5114942528735632,0.0031585801536162137,0.0003867230842928498,0.00038672308429283893,13,29,0,0,0,1
Rosmerta,0.0008886646702412543,0.026581487856199175,0.06741573033707865,0.49444444444444446,0.002020425857319739,0.00028364007982668225,0.00028364007982669044,6,12,2,2,0,0
Merlin,0.0006063223753777278,0.005295610926356585,0.056179775280898875,0.43842364532019706,0.002004276629454599,0.00019352491321611255,0.00019352491321611757,5,12,2,2,0,0
Graham Montague,8.916167303024474e-05,0.00056715672095546,0.06741573033707865,0.41203703703703703,0.0025258894506829626,2.84586305605144e-05,2.8458630560505883e-05,6,15,0,0,0,1
Pansy Parkinson,0.000873713310685787,0.0020031254315446487,0.06741573033707865,0.489010989010989,0.0020313525785213195,0.0002788627154625425,0.0002788627154625459,6,11,4,3,0,0
Cassandra Vablatsky,0.0007222242409358979,0.0,0.011235955056179775,0.4708994708994709,0.0017542830651408655,0.00023051061137519164,0.000230510611375199,1,3,1,1,2,0
Hermes,5.615961983029937e-05,0.0,0.02247191011235955,0.3755274261603376,0.0019758009562166425,1.7924967903710214e-05,1.792496790371006e-05,2,6,0,0,0,0
Cassius Warrington,3.2955758737938816e-05,0.006003698411918086,0.056179775280898875,0.3991031390134529,0.00210354727987333,1.0518811542010954e-05,1.0518811542011626e-05,5,8,0,0,0,1
William Weasley,0.0011754197708336122,0.0008536407412811907,0.056179775280898875,0.489010989010989,0.0020279596649021778,0.00037516078490954386,0.0003751607849095427,5,10,0,0,0,1
Roger Davies,0.00027121826241477805,0.009895770666024956,0.033707865168539325,0.478494623655914,0.0018335649096734594,8.656446485826746e-05,8.656446485827379e-05,3,4,0,0,0,1
Silvanus Kettleburn,0.00018567140565085545,9.921556142189441e-05,0.033707865168539325,0.4258373205741627,0.0018233622650335206,5.9262101843834665e-05,5.926210184382567e-05,3,5,0,0,0,1
Ripper,0.0002584898283770854,0.001806441770691005,0.02247191011235955,0.47593582887700536,0.0018070482841527826,8.250191637230477e-05,8.250191637229315e-05,2,3,3,5,0,0
