name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Harry Potter,0.6211080473720447,0.1502110339229677,0.7044025157232705,0.7470745810553431,0.2001249475761213,0.17723320628595104,0.17723320628595104,336,57819,1,0,0,0
Ronald Weasley,0.5288815034247519,0.0953738507471326,0.5031446540880503,0.6430515381235865,0.08829434376049893,0.15092924982259928,0.1509292498225993,240,27028,1,0,0,0
Hermione Granger,0.49233657407967363,0.048570633665222844,0.44025157232704404,0.6170170628959109,0.07594287629354154,0.14049849342300172,0.14049849342300166,210,23832,1,0,0,0
Albus Dumbledore,0.15595303208312153,0.07307759125313613,0.37945492662473795,0.5899479272333806,0.03328227654060343,0.04450572763231654,0.044505727632316555,181,9434,0,1,0,0
Rubeus Hagrid,0.11868409960517184,0.03814168771330735,0.2641509433962264,0.5436499923969916,0.019630951951200817,0.033869153911327346,0.03386915391132733,126,5751,1,0,0,0
Tom Riddle,0.08775287286000194,0.03692053023017129,0.29350104821802936,0.5562161114426643,0.018729713806567825,0.025042684383007337,0.025042684383007347,140,4992,0,1,0,0
Severus Snape,0.09084220796229243,0.029361072310397918,0.2578616352201258,0.5449459399354827,0.018507571859878637,0.025924142982812513,0.0259241429828125,123,5537,0,1,0,0
Sirius Black,0.07473871023789722,0.01326978678194246,0.20125786163522014,0.5201474898815358,0.014329224051470269,0.021328611864059537,0.021328611864059533,96,4349,0,1,0,0
Draco Malfoy,0.06651769886090438,0.022643822894772354,0.23060796645702308,0.5273467630978893,0.013769269012129617,0.01898234702854374,0.018982347028543747,110,4157,4,2,0,0
Fred Weasley,0.050387494032485526,0.021225211632612994,0.21174004192872117,0.5249249639562228,0.013737856145856502,0.014378947807200065,0.014378947807200079,101,3975,3,3,0,0
George Weasley,0.04516437904382164,0.027804536951207603,0.20545073375262055,0.5237223867192096,0.012247547508320246,0.012888490034820205,0.012888490034820219,98,3631,3,3,0,0
Ginevra Weasley,0.06156313474854303,0.03884329540459117,0.25157232704402516,0.5372616258588367,0.012495235468290644,0.017568242052955298,0.017568242052955315,120,3587,3,3,0,0
Neville Longbottom,0.04658145978704102,0.024947267047446157,0.20964360587002098,0.5201474898815358,0.0092813368188766,0.013293123258594702,0.013293123258594703,100,2690,2,2,0,0
Remus Lupin,0.03942782922243928,0.02437324895918481,0.17610062893081763,0.5080107151176333,0.00841615604078217,0.01125171902334612,0.011251719023346124,84,2529,0,1,0,0
Molly Weasley,0.041978643768537584,0.024590216896985127,0.15932914046121593,0.5074468852451387,0.00903328273422518,0.011979547991690017,0.011979547991690025,76,2478,3,3,0,0
Cho Chang,0.03143206736186391,0.015350334011072242,0.11111111111111112,0.48228865359268985,0.00466206496314355,0.008970055346969773,0.00897005534696978,53,1363,1,0,0,0
Dolores Umbridge,0.03561933247984169,0.02242778972272387,0.16771488469601678,0.5035348497862004,0.007528302273345823,0.010164897718503006,0.010164897718503004,80,2050,1,0,0,0
Godric Gryffindor,0.03354401280747536,0.03636196558074798,0.24947589098532497,0.5378936983598471,0.009343110676898542,0.009572599751576842,0.009572599751576835,119,2301,2,2,0,0
Dobby,0.02574954007210942,0.004506302832526765,0.10062893081761007,0.48178044637077977,0.0036696165275451487,0.007348430265175359,0.0073484302651753595,48,1096,1,0,0,0
Minerva McGonagall,0.034758786523956565,0.023309987712633488,0.22012578616352202,0.5267392207440899,0.008035371028615864,0.009919207361281093,0.009919207361281095,105,2248,2,2,0,0
Cedric Diggory,0.020171424385527176,0.0034968341998252795,0.10901467505241091,0.48587634814651437,0.0037147982639043715,0.005756550578302422,0.005756550578302426,52,1051,1,0,0,0
Alastor Moody,0.023489065496461094,0.012718457692044166,0.14675052410901468,0.5029809060570628,0.005424278619188547,0.006703234720151638,0.006703234720151638,70,1487,0,1,0,0
Horace Slughorn,0.024174260351031974,0.04167520870901602,0.16561844863731656,0.4980497207035621,0.006614260010456166,0.006898739615139488,0.006898739615139493,79,1395,4,2,0,0
Vernon Dursley,0.01842867541786861,0.0315809326414564,0.09853249475890986,0.4802622306784349,0.004905336603269976,0.005259226223680368,0.005259226223680373,47,1116,5,5,0,0
Luna Lovegood,0.022857955540024018,0.016266105806231772,0.1530398322851153,0.5002293693718489,0.0044568156520382665,0.006523059752339965,0.006523059752339966,73,1302,1,0,0,0
Dudley Dursley,0.015465457289562747,0.008307413452364456,0.06918238993710692,0.46845250369453895,0.004212744994746056,0.004413590112892296,0.004413590112892298,33,899,5,5,0,0
Hedwig,0.01610792169252509,0.014049529905871726,0.0859538784067086,0.47477636926881617,0.0024597115595913176,0.004596866975516615,0.0045968669755166135,41,643,1,0,0,0
Gregory Goyle,0.01409898586960918,0.009468162128190835,0.10062893081761007,0.47825276527810673,0.0041383858131125535,0.004023423001599796,0.004023423001599799,48,1245,4,2,0,0
Vincent Crabbe,0.01339555571713244,0.01109542002142322,0.11740041928721175,0.48228865359268985,0.004124915787789277,0.003822693509441382,0.003822693509441385,56,1240,4,2,0,0
Sybill Trelawney,0.016417950905924333,0.004322949172908252,0.0859538784067086,0.4757644574462747,0.002699108214359129,0.0046852648259591385,0.004685264825959138,41,792,1,0,0,0
Cornelius Fudge,0.015897812628197845,0.013490931311754493,0.15513626834381553,0.5002293693718489,0.00614194959956486,0.004536811852688918,0.004536811852688917,74,1481,0,1,0,0
Argus Filch,0.015112874929903658,0.01911144985070985,0.10482180293501049,0.48228865359268985,0.0030673715986258027,0.004312836626658313,0.004312836626658312,50,885,0,8,0,0
Percy Weasley,0.019603011319424456,0.03262803951202389,0.17819706498951782,0.5080107151176333,0.004889161676179647,0.005594098435834105,0.005594098435834111,85,1323,3,3,0,0
Kreacher,0.014993102425170962,0.016842034683488775,0.08385744234800839,0.4792553916204088,0.003965767922304508,0.00427865943318819,0.0042786594331881925,40,899,0,1,0,0
Gilderoy Lockhart,0.01702715201086405,0.020673728303002972,0.10482180293501049,0.48587634814651437,0.003706685855713103,0.004859057722630122,0.004859057722630127,50,805,1,0,0,0
Prime Minister,0.004942869371076259,0.020103238266489718,0.12368972746331237,0.4838197286834603,0.0038877716798756947,0.0014105742713097678,0.0014105742713097663,59,712,0,1,0,0
Viktor Krum,0.015637387760196787,0.010585172718809377,0.10062893081761007,0.47975828290227707,0.0036575208988908125,0.004462456831001746,0.0044624568310017475,48,869,1,0,0,0
Nymphadora Tonks,0.012427954678803812,0.015474666793951448,0.1069182389937107,0.4863932378785851,0.00308625718781645,0.003546638978901993,0.003546638978901992,51,846,0,1,0,0
Bartemius Crouch Senior,0.0146749812408041,0.008086665188545176,0.10272536687631027,0.4838197286834603,0.004626241948000396,0.004187808847509678,0.0041878088475096826,49,1173,0,1,0,0
Petunia Dursley,0.008157980497285467,0.013748889479235627,0.06918238993710692,0.46464394675393295,0.0035553025056598913,0.002328134948259747,0.0023281349482597484,33,759,5,5,0,0
Oliver Wood,0.009659803711380296,0.007972601660509422,0.09014675052410902,0.47330190849468945,0.002627614310425328,0.0027566848112413906,0.00275668481124139,43,690,2,2,0,0
Salazar Slytherin,0.009933510364143305,0.00929093062188182,0.15094339622641512,0.4932142865219741,0.0035821378456346413,0.0028347799037798803,0.0028347799037798816,72,789,2,2,0,0
William Weasley,0.01301442184327038,0.021311789955822173,0.14465408805031446,0.4975077732381611,0.004618771817236142,0.0037139173587884913,0.0037139173587884926,69,1161,3,3,0,0
Aberforth Dumbledore,0.009009838399293594,0.010519686026705805,0.11740041928721175,0.4863932378785851,0.002545783498416502,0.002571206294459114,0.002571206294459114,56,532,6,4,0,0
Dean Thomas,0.012204875934642555,0.016656189827685297,0.1320754716981132,0.4921524688975996,0.003091899243155143,0.003482908701992128,0.0034829087019921314,63,852,2,2,0,0
Fleur Delacour,0.011085053670267351,0.005150645998361979,0.11530398322851154,0.48433224958248944,0.003534222684361132,0.003163363977310026,0.0031633639773100265,55,965,3,3,0,0
Rufus Scrimgeour,0.008990699927118439,0.00784828009147531,0.06918238993710692,0.4694144184865195,0.0018191189024860128,0.0025657341412158737,0.002565734141215876,33,410,1,0,0,0
Arthur Weasley,0.009308167348436966,0.023555997809852684,0.15094339622641512,0.4980497207035621,0.0036110586009176293,0.002656315539361347,0.0026563155393613453,72,731,3,3,0,0
Seamus Finnigan,0.01025490919654903,0.009613888318906751,0.09224318658280922,0.47428386266169087,0.002428650183092019,0.002926468221585125,0.002926468221585119,44,607,2,2,0,0
Griphook,0.009990881198444119,0.0015600860982626738,0.05450733752620546,0.4581258953966634,0.001864565825228088,0.002851134097789882,0.0028511340977898834,26,457,1,0,0,0
Lavender Brown,0.01341523586748024,0.011645290119729559,0.08805031446540881,0.47477636926881617,0.0027413968746329365,0.0038282648085034665,0.0038282648085034665,42,690,1,0,0,0
Rita Skeeter,0.013001881261436143,0.013628741048519086,0.09433962264150944,0.47725432526708766,0.0028290010142336163,0.003710327643558992,0.0037103276435589937,45,702,1,0,0,0
Ludovic Bagman,0.00837374162524615,0.029654166665028237,0.11320754716981132,0.4848458574823648,0.0030142600146112154,0.002389670055653719,0.0023896700556537195,54,573,0,1,0,0
Buckbeak,0.010371602571213903,0.005827685732531653,0.06289308176100629,0.46464394675393295,0.0018657243783647137,0.002959757606214322,0.0029597576062143204,30,514,1,0,0,0
Bellatrix Lestrange,0.008688245022202187,0.00576971555343332,0.10062893081761007,0.4792553916204088,0.0026899568321795764,0.0024794046847446114,0.0024794046847446114,48,643,0,1,0,0
Lucius Malfoy,0.008446797380602163,0.007887860002017574,0.11530398322851154,0.4848458574823648,0.002450145282806299,0.002410493408316822,0.0024104934083168227,55,606,0,1,0,0
Poppy Pomfrey,0.008465780794434299,0.006049270347771773,0.10482180293501049,0.4863932378785851,0.0018350287703603914,0.002415905425133675,0.0024159054251336764,50,461,1,2,0,0
Quirinus Quirrell,0.006684102739663791,0.0051463527076778875,0.04402515723270441,0.4590458269135241,0.0013750348016805596,0.0019074962220698036,0.0019074962220698047,21,335,0,1,0,0
Lily J. Potter,0.003934628967802614,0.00911024863222611,0.07547169811320756,0.4757644574462747,0.0026930295595474895,0.0011228316101398385,0.001122831610139836,36,555,0,1,0,0
Peter Pettigrew,0.007711905941539587,0.0009303855170946054,0.050314465408805034,0.4590458269135241,0.002166279259286467,0.0022007413665374774,0.0022007413665374774,24,615,0,1,0,0
Father Christmas,0.007488834644321371,0.02316944824542955,0.14046121593291405,0.5018766669658288,0.0018301215094857068,0.0021370923284239154,0.0021370923284239223,67,463,4,0,0,0
Myrtle Warren,0.006513901391755544,1.816735468575783e-05,0.033542976939203356,0.4443242406276676,0.0013278813646776595,0.0018588962793962547,0.0018588962793962564,16,272,1,0,0,0
Mundungus Fletcher,0.006277426491824914,0.004986449719669208,0.060796645702306085,0.46845250369453895,0.0019442269368199548,0.0017914143300643056,0.0017914143300643065,29,431,3,3,0,0
Winky,0.007181865583338977,0.0,0.03773584905660378,0.45403142364038734,0.0018927981373205803,0.0020494955168245013,0.0020494955168245004,18,493,0,1,0,0
Angelina Johnson,0.006263655577554354,0.007251738476215267,0.10062893081761007,0.47379237679364766,0.002145108956290589,0.0017874826498884531,0.0017874826498884527,48,471,2,2,0,0
Garrick Ollivander,0.00536908720232679,0.002652942843758555,0.06289308176100629,0.46417222701103555,0.0013739043434925005,0.0015322149486384409,0.0015322149486384415,30,330,1,0,0,0
Peeves,0.005426188184122279,0.0043420296660284016,0.07127882599580714,0.46797302313804506,0.0016271946195604244,0.0015485044029714093,0.001548504402971409,34,346,0,8,0,0
Phineas Nigellus Black,0.005348887786827281,0.006625404261524671,0.04612159329140461,0.45720964360587,0.0012215805895978114,0.0015264380539226478,0.0015264380539226506,22,259,0,1,0,0
Fang,0.0059706786590879085,0.0015142859271044312,0.039832285115303984,0.45403142364038734,0.0012772477039569054,0.0017038528499262117,0.001703852849926211,19,329,1,0,0,0
Bathilda Bagshot,0.004478979310680495,0.01786034305472852,0.052410901467505246,0.4562970495068563,0.0017312625810178431,0.0012782021351186224,0.0012782021351186318,25,233,6,4,0,0
Igor Karkaroff,0.005686161632068446,0.0032010550803210744,0.07127882599580714,0.46797302313804506,0.001989413415860345,0.0016226624789076576,0.0016226624789076579,34,495,0,1,0,0
